"passenger","pclass","survived","name","age","embarked","home.dest","room","ticket","boat","sex"
 643,"3rd","No ","Asplund, Master Carl Edgar                                    ","5     ","Southampton","Sweden  Worcester, MA                             ","            ","                    ","     ","male  "
 644,"3rd","No ","Asplund, Master Clarence Gustaf Hugo                          ","9     ","Southampton","Sweden Worcester, MA                              ","            ","                    ","     ","male  "
 645,"3rd","Yes","Aspland, Master Edvin Rojj Felix                              ","3     ","Southampton","Sweden Worcester, MA                              ","            ","                    ","4    ","male  "
 646,"3rd","No ","Asplund, Master Filip Oscar                                   ","13    ","Southampton","Sweden Worcester, MA                              ","            ","                    ","     ","male  "
 647,"3rd","Yes","Asplund, Mr John Charles                                      ","23    ","Southampton","Oskarshamn, Sweden Minneapolis, MN                ","            ","                    ","     ","male  "
 648,"3rd","Yes","Asplund, Miss Lillian Gertrud                                 ","5     ","Southampton","Sweden Worcester, MA                              ","            ","                    ","4    ","female"
 649,"3rd","No ","Assaf, Mr Gerios                                              ",".     ","Cherbourg  ","Ottawa, ON                                        ","            ","                    ","     ","male  "
 650,"3rd","Yes","Assaf, Mrs Mariana                                            ","45    ","Cherbourg  ","Ottawa, ON                                        ","            ","                    ","C    ","female"
 651,"3rd","No ","Assam, Mr Ali                                                 ","23    ","Southampton","                                                  ","            ","                    ","     ","male  "
 652,"3rd","No ","Attalah, Miss Malaka                                          ","17    ","Cherbourg  ","                                                  ","            ","                    ","     ","female"
 653,"3rd","No ","Attala (Kalil), Mr Solomon                                    ","27    ","Cherbourg  ","Ottawa, ON                                        ","            ","                    ","     ","male  "
 654,"3rd","No ","Augustsson, Mr Albert                                         ","23    ","Southampton","Krakoryd, Sweden Bloomington, IL                  ","            ","                    ","     ","male  "
 655,"3rd","No ","Baccos, Mr Rafoul                                             ","20    ","Cherbourg  ","                                                  ","            ","                    ","     ","male  "
 656,"3rd","No ","Backstrom, Mr Karl Alfred                                     ","32    ","Southampton","Ruotsinphytaa, Finland New York, NY               ","            ","                    ","     ","male  "
 657,"3rd","Yes","Backstrom, Mrs Karl Alfred (Maria Mathilda Gustafsson)        ","33    ","Southampton","Ruotsinphytaa, Finland New York, NY               ","            ","                    ","     ","female"
 658,"3rd","Yes","Baclini, Miss Eugenie                                         ","3     ","Cherbourg  ","Syria New York, NY                                ","            ","                    ","     ","female"
 659,"3rd","Yes","Baclini, Miss Helene                                          ",".     ","Cherbourg  ","Syria New York, NY                                ","            ","                    ","     ","female"
 660,"3rd","Yes","Baclini, Miss Maria                                           ",".     ","Cherbourg  ","Syria New York, NY                                ","            ","                    ","     ","female"
 661,"3rd","Yes","Baclini, Mrs Solomon (Latifa)                                 ",".     ","Cherbourg  ","Syria New York, NY                                ","            ","                    ","     ","female"
 662,"3rd","Yes","Badman, Miss Emily Louisa                                     ","18    ","Southampton","London Skanteales, NY                             ","            ","                    ","     ","female"
 663,"3rd","No ","Badt, Mr Mohamed                                              ","40    ","Cherbourg  ","                                                  ","            ","                    ","     ","male  "
 664,"3rd","No ","Balkic, Mr Cerin                                              ","26    ","Southampton","                                                  ","            ","                    ","     ","male  "
 665,"3rd","Yes","Banoura, Miss Ayout                                           ","15    ","Cherbourg  ","Syria Youngstown, OH                              ","            ","                    ","     ","female"
 666,"3rd","No ","Barbara, Mrs Catherine                                        ","45    ","Cherbourg  ","Syria Ottawa, ON                                  ","            ","                    ","     ","female"
 667,"3rd","No ","Barbara, Miss Saude                                           ","18    ","Cherbourg  ","Syria Ottawa, ON                                  ","            ","                    ","     ","female"
 668,"3rd","No ","Barry, Miss Julia                                             ","27    ","Queenstown ","New York, NY                                      ","            ","                    ","     ","female"
 669,"3rd","No ","Barton Mr David                                               ","22    ","Southampton","England New York, NY                              ","            ","                    ","     ","male  "
 670,"3rd","No ","Beavan, Mr William Thomas                                     ","19    ","Southampton","England                                           ","            ","                    ","     ","male  "
 671,"3rd","No ","Bengtsson, Mr John Viktor                                     ","26    ","Southampton","Krakudden, Sweden Moune, IL                       ","            ","                    ","     ","male  "
 672,"3rd","No ","Berglund. Mr Karl Ivar Sven                                   ","22    ","Southampton","Tranvik, Finland New York                         ","            ","                    ","     ","male  "
 673,"3rd","No ","Betros, Mr Tannous                                            ","20    ","Cherbourg  ","Syria                                             ","            ","                    ","     ","male  "
 674,"3rd","Yes","Bing, Mr Lee                                                  ","32    ","Southampton","Hong Kong New York, NY                            ","            ","                    ","     ","male  "
 675,"3rd","No ","Birkeland, Mr Hans                                            ","21    ","Southampton","Brennes, Norway New York                          ","            ","                    ","     ","male  "
 676,"3rd","No ","Bjorklund, Ernst Herbert                                      ","18    ","Southampton","Stockholm, Sweden New York                        ","            ","                    ","     ","male  "
 677,"3rd","No ","Bostandyeff, Mr Guentcho                                      ","26    ","Southampton","Bulgaria Chicago, IL                              ","            ","                    ","     ","male  "
 678,"3rd","No ","Boulos, Master Akar                                           ","6     ","Cherbourg  ","Syria Kent, ON                                    ","            ","                    ","     ","male  "
 679,"3rd","No ","Boulos, Mr Hanna                                              ",".     ","Cherbourg  ","Syria                                             ","            ","                    ","     ","male  "
 680,"3rd","No ","Boulos, Mrs Joseph (Sultana)                                  ",".     ","Cherbourg  ","Syria Kent, ON                                    ","            ","                    ","     ","female"
 681,"3rd","No ","Boulos, Miss Laura                                            ","9     ","Cherbourg  ","Syria Kent, ON                                    ","            ","                    ","     ","female"
 682,"3rd","No ","Bourke, Mr John                                               ","40    ","Queenstown ","Ireland Chicago, IL                               ","            ","                    ","     ","male  "
 683,"3rd","No ","Bourke, Mrs John (Catherine)                                  ","32    ","Queenstown ","Ireland Chicago, IL                               ","            ","                    ","     ","female"
 684,"3rd","No ","Bourke, Miss Mary                                             ",".     ","Queenstown ","Ireland Chicago, IL                               ","            ","                    ","     ","female"
 685,"3rd","No ","Bowen, Mr David                                               ","26    ","Southampton","Treherbert, Cardiff, Wales                        ","            ","                    ","     ","male  "
 686,"3rd","Yes","Bradley, Miss Bridget Delia                                   ","18    ","Queenstown ","Kingwilliamstown, Co Cork, Ireland Glens Falls, NY","            ","                    ","13   ","female"
 687,"3rd","No ","Braf, Miss Elin Ester Maria                                   ","20    ","Southampton","Medeltorp, Sweden Chicago, IL                     ","            ","                    ","     ","female"
 688,"3rd","No ","Brahim, Mr Youssef                                            ",".     ","Cherbourg  ","                                                  ","            ","                    ","     ","male  "
 689,"3rd","No ","Braund, Mr Lewis Richard                                      ","29    ","Southampton","Bridgerule, Devon                                 ","            ","                    ","     ","male  "
 690,"3rd","No ","Braund, Mr Owen Harris                                        ","22    ","Southampton","Bridgerule, Devon                                 ","            ","                    ","     ","male  "
 691,"3rd","No ","Brobek, Mr Karl Rudolf                                        ","22    ","Southampton","Sweden Worcester, MA                              ","            ","                    ","     ","male  "
 692,"3rd","No ","Brocklebank, Mr William Alfred                                ","35    ","Southampton","Broomfield, Chelmsford, England                   ","            ","                    ","     ","male  "
 693,"3rd","Yes","Buckley, Mr Daniel                                            ","21    ","Queenstown ","Kingwilliamstown, Co Cork, Ireland New York, NY   ","            ","                    ","     ","male  "
 694,"3rd","No ","Buckley, Miss Katherine                                       ","20    ","Queenstown ","Co Cork, Ireland Roxbury, MA                      ","            ","                    ","-299 ","female"
 695,"3rd","No ","Burke, Mr Jeremiah                                            ","19    ","Queenstown ","Co Cork, Ireland Charlestown, MA                  ","            ","                    ","     ","male  "
 696,"3rd","No ","Burns, Miss Mary Delia                                        ","18    ","Queenstown ","Co Sligo, Ireland New York, NY                    ","            ","                    ","     ","female"
 697,"3rd","No ","Cacic, Mr Grego                                               ","18    ","Southampton","Croatia                                           ","            ","                    ","     ","male  "
 698,"3rd","No ","Cacic, Mr Luka                                                ","38    ","Southampton","Croatia                                           ","            ","                    ","     ","male  "
 699,"3rd","No ","Cacic, Mr Manda                                               ",".     ","Southampton","Croatia                                           ","            ","                    ","     ","male  "
 700,"3rd","No ","Cacic, Mr Maria                                               ","30    ","Southampton","Croatia                                           ","            ","                    ","     ","male  "
 701,"3rd","No ","Calic, Mr Peter                                               ","17    ","Southampton","                                                  ","            ","                    ","     ","male  "
 702,"3rd","No ","Canavan, Miss Mary                                            ","21    ","Queenstown ","                                                  ","            ","                    ","     ","female"
 703,"3rd","No ","Canavan, Mr Patrick                                           ","21    ","Queenstown ","Ireland Philadelphia, PA                          ","            ","                    ","     ","male  "
 704,"3rd","No ","Cann, Mr Ernest                                               ","21    ","Southampton","                                                  ","            ","                    ","     ","male  "
 705,"3rd","No ","Caram (Kareem), Mr Joseph                                     ",".     ","Cherbourg  ","Ottawa, ON                                        ","            ","                    ","     ","male  "
 706,"3rd","No ","Caram (Kareem), Mrs Joseph (Maria Elias)                      ",".     ","Cherbourg  ","Ottawa, ON                                        ","            ","                    ","     ","female"
 707,"3rd","No ","Carlsson, Mr Carl Robert                                      ","24    ","Southampton","Goteborg, Sweden Huntley, IL                      ","            ","                    ","     ","male  "
 708,"3rd","No ","Carlsson, Mr Frans Olof                                       ","33    ","Southampton","New York, NY                                      ","            ","                    ","     ","male  "
 709,"3rd","No ","Carlsson, Mr Julius                                           ","33    ","Southampton","                                                  ","            ","                    ","     ","male  "
 710,"3rd","No ","Carlsson, Mr August Sigfrid                                   ","28    ","Southampton","Dagsas, Sweden Fower, MN                          ","            ","                    ","     ","male  "
 711,"3rd","Yes","Carr, Miss Helen                                              ","16    ","Queenstown ","Co Longford, Ireland New York, NY                 ","            ","                    ","     ","female"
 712,"3rd","No ","Carr, Miss Jeannie                                            ","37    ","Queenstown ","Co Sligo, Ireland Hartford, CT                    ","            ","                    ","     ","female"
 713,"3rd","No ","Carver, Mr Alfred John                                        ","28    ","Southampton","St Denys, Southampton, Hants                      ","            ","                    ","     ","male  "
 714,"3rd","Yes","Cassem, Mr Nassef Belmenly                                    ",".     ","Cherbourg  ","Syria Fredericksburg, VA                          ","            ","                    ","     ","male  "
 715,"3rd","No ","Celotti, Mr Francesco                                         ","24    ","Southampton","London                                            ","            ","                    ","     ","male  "
 716,"3rd","No ","Chartens, Mr David                                            ","21    ","Southampton","Ireland New York, NY                              ","            ","                    ","     ","male  "
 717,"3rd","No ","Chebab, Mr Emir Farres                                        ",".     ","Cherbourg  ","                                                  ","            ","                    ","     ","male  "
 718,"3rd","No ","Chip, Mr Chang                                                ","32    ","Southampton","Hong Kong New York, NY                            ","            ","                    ","     ","male  "
 719,"3rd","No ","Christmann, Mr Emil                                           ","29    ","Southampton","                                                  ","            ","                    ","     ","male  "
 720,"3rd","No ","Chronopoulos, Mr Apostolos                                    ","26    ","Cherbourg  ","Greece                                            ","            ","                    ","     ","male  "
 721,"3rd","No ","Chronopoulos, Mr Demetrios                                    ","18    ","Cherbourg  ","Greece                                            ","            ","                    ","     ","male  "
 722,"3rd","No ","Coelho, Mr Domingos Fernandes                                 ","20    ","Southampton","Portugal                                          ","            ","                    ","     ","male  "
 723,"3rd","Yes","Cohen, Mr Gurshon (Gus)                                       ","19    ","Southampton","London Brooklyn, NY                               ","            ","                    ","     ","male  "
 724,"3rd","No ","Colbert, Mr Patrick                                           ","24    ","Queenstown ","Co Limerick, Ireland Sherbrooke, PQ               ","            ","                    ","     ","male  "
 725,"3rd","No ","Coleff, Mr Fotio                                              ","24    ","Southampton","                                                  ","            ","                    ","     ","male  "
 726,"3rd","No ","Coleff, Mr Peyo                                               ","36    ","Southampton","Bulgaria Chicago, IL                              ","            ","                    ","     ","male  "
 727,"3rd","No ","Conlin, Mr Thomas Henry                                       ","31    ","Queenstown ","Philadelphia, PA                                  ","            ","                    ","     ","male  "
 728,"3rd","No ","Connaghton, Mr Michael                                        ","31    ","Queenstown ","Ireland Brooklyn, NY                              ","            ","                    ","     ","male  "
 729,"3rd","No ","Connolly, Miss Kate                                           ","30    ","Queenstown ","Ireland                                           ","            ","                    ","     ","female"
 730,"3rd","Yes","Connolly, Miss Kate                                           ","22    ","Queenstown ","Ireland                                           ","            ","                    ","     ","female"
 731,"3rd","No ","Connors, Mr Patrick                                           ",".     ","Queenstown ","                                                  ","            ","                    ","-171 ","male  "
 732,"3rd","No ","Cook, Mr Jacob                                                ","43    ","Southampton","                                                  ","            ","                    ","     ","male  "
 733,"3rd","No ","Cor, Mr Bartol                                                ","35    ","Southampton","Austria                                           ","            ","                    ","     ","male  "
 734,"3rd","No ","Cor, Mr Ivan                                                  ","27    ","Southampton","Austria                                           ","            ","                    ","     ","male  "
 735,"3rd","No ","Cor, Mr Ludovik                                               ","19    ","Southampton","Austria                                           ","            ","                    ","     ","male  "
 736,"3rd","No ","Corn, Mr Harry                                                ","30    ","Southampton","London                                            ","            ","                    ","     ","male  "
 737,"3rd","Yes","Coutts, Mrs William (Minnie)                                  ","36    ","Southampton","England Brooklyn, NY                              ","            ","                    ","2    ","female"
 738,"3rd","Yes","Coutts, Master Neville                                        ","3     ","Southampton","England Brooklyn, NY                              ","            ","                    ","2    ","male  "
 739,"3rd","Yes","Coutts, Master William Leslie                                 ","9     ","Southampton","England Brooklyn, NY                              ","            ","                    ","2    ","male  "
 740,"3rd","No ","Coxon, Mr Daniel                                              ","59    ","Southampton","Merrill, WI                                       ","            ","                    ","     ","male  "
 741,"3rd","No ","Crease, Mr Ernest James                                       ","19    ","Southampton","Bristol, England Cleveland, OH                    ","            ","                    ","     ","male  "
 742,"3rd","No ","Cribb, Mr John Hatfield                                       ","44    ","Southampton","Bournemouth, England Newark, NJ                   ","            ","                    ","     ","male  "
 743,"3rd","Yes","Cribb, Miss Laura Alice                                       ","17    ","Southampton","Bournemouth, England Newark, NJ                   ","            ","                    ","     ","female"
 744,"3rd","No ","Daher, Mr Tannous                                             ",".     ","Cherbourg  ","                                                  ","            ","                    ","     ","male  "
 745,"3rd","Yes","Dahl, Mr Charles Edward                                       ","45    ","Southampton","Australia Fingal, ND                              ","            ","                    ","15   ","male  "
 746,"3rd","No ","Dahlberg, Miss Gerda Ulrika                                   ","22    ","Southampton","Norrlot, Sweden Chicago, IL                       ","            ","                    ","     ","female"
 747,"3rd","No ","Dakic, Mr Branko                                              ","19    ","Southampton","Austria                                           ","            ","                    ","     ","male  "
 748,"3rd","Yes","Daly, Mr Eugene                                               ","29    ","Queenstown ","Co Athlone, Ireland New York, NY                  ","            ","                    ","B    ","male  "
 749,"3rd","Yes","Daly, Miss Marcella                                           ","30    ","Queenstown ","Co Athlone, Ireland New York, NY                  ","            ","                    ","     ","female"
 750,"3rd","No ","Danbom, Mr Ernst Gilbert                                      ","34    ","Southampton","Stanton, IA                                       ","            ","                    ","     ","male  "
 751,"3rd","No ","Danbom, Mrs Ernst Gilbert (Anna Sigrid Maria Brogren)         ","28    ","Southampton","Stanton, IA                                       ","            ","                    ","     ","female"
 752,"3rd","No ","Danbom, Master Gilbert Sigvard Emanuel                        ","0.3333","Southampton","Stanton, IA                                       ","            ","                    ","     ","male  "
 753,"3rd","No ","Danoff, Mr Yoto                                               ","27    ","Southampton","Bulgaria Chicago, IL                              ","            ","                    ","     ","male  "
 754,"3rd","No ","Dantchoff, Mr Khristo                                         ","25    ","Southampton","Bulgaria Chicago, IL                              ","            ","                    ","     ","male  "
 755,"3rd","No ","Davies, Mr Alfred                                             ","24    ","Southampton","West Bromwich, England Pontiac, MI                ","            ","                    ","     ","male  "
 756,"3rd","No ","Davies, Mr Evan                                               ","22    ","Southampton","                                                  ","            ","                    ","     ","male  "
 757,"3rd","No ","Davies, Mr John                                               ","21    ","Southampton","West Bromwich, England Pontiac, MI                ","            ","                    ","     ","male  "
 758,"3rd","No ","Davies, Mr Joseph                                             ","17    ","Southampton","West Bromwich, England Pontiac, MI                ","            ","                    ","     ","male  "
 759,"3rd","No ","Davison, Mr Thomas Henry                                      ",".     ","Southampton","Liverpool, England Bedford, OH                    ","            ","                    ","     ","male  "
 760,"3rd","Yes","Davison, Mrs Thomas Henry (Mary Finck)                        ",".     ","Southampton","Liverpool, England Bedford, OH                    ","            ","                    ","     ","female"
 761,"3rd","No ","Dean, Mr Bertram                                              ","26    ","Southampton","Devon, England Wichita, KS                        ","            ","                    ","     ","male  "
 762,"3rd","Yes","Dean, Mrs Bertram (Eva)                                       ","33    ","Southampton","Devon, England Wichita, KS                        ","            ","                    ","12   ","female"
 763,"3rd","Yes","Dean, Master Bertram Vere                                     ","1     ","Southampton","Devon, England Wichita, KS                        ","            ","                    ","12   ","male  "
 764,"3rd","Yes","Dean, Miss Elizabeth Gladys (Millvena)                        ","0.1667","Southampton","Devon, England Wichita, KS                        ","            ","                    ","12   ","female"
 765,"3rd","No ","Delalic, Mr Regyo                                             ","25    ","Southampton","                                                  ","            ","                    ","     ","male  "
 766,"3rd","Yes","De Messemaeker, Mr William Joseph                             ","36    ","Southampton","Tampico, MT                                       ","            ","                    ","15   ","male  "
 767,"3rd","Yes","De Messemaeker, Mrs William Joseph (Anna)                     ","36    ","Southampton","Tampico, MT                                       ","            ","                    ","13   ","female"
 768,"3rd","Yes","De Mulder, Mr Theo                                            ","30    ","Southampton","Belgium Detroit, MI                               ","            ","                    ","     ","male  "
 769,"3rd","No ","Denkoff, Mr Mito                                              ",".     ","Southampton","Bulgaria Coon Rapids, IA                          ","            ","                    ","     ","male  "
 770,"3rd","No ","Dennis, Mr Samuel                                             ","23    ","Southampton","                                                  ","            ","                    ","     ","male  "
 771,"3rd","No ","Dennis, Mr William                                            ","26    ","Southampton","                                                  ","            ","                    ","     ","male  "
 772,"3rd","Yes","Devaney, Miss Margaret                                        ","19    ","Queenstown ","Kilmacowen, Co Sligo, Ireland New York, NY        ","            ","                    ","C    ","female"
 773,"3rd","No ","Dewan, Mr Frank                                               ","65    ","Queenstown ","                                                  ","            ","                    ","     ","male  "
 774,"3rd","No ","Dibo, Mr Elias                                                ",".     ","Cherbourg  ","                                                  ","            ","                    ","     ","male  "
 775,"3rd","No ","Dimic, Mr Jovan                                               ","42    ","Southampton","                                                  ","            ","                    ","     ","male  "
 776,"3rd","No ","Dintcheff, Mr Valtcho                                         ","43    ","Southampton","                                                  ","            ","                    ","     ","male  "
 777,"3rd","No ","Dooley, Mr Patrick                                            ","32    ","Queenstown ","Ireland New York, NY                              ","            ","                    ","     ","male  "
 778,"3rd","Yes","Dorkings, Mr Edward Arthur                                    ","19    ","Southampton","England Oglesby, IL                               ","            ","                    ","B    ","male  "
 779,"3rd","Yes","Dowdell, Miss Elizabeth                                       ","30    ","Southampton","Union Hill, NJ                                    ","            ","                    ","13   ","female"
 780,"3rd","No ","Doyle, Miss Elizabeth                                         ","24    ","Queenstown ","Ireland New York, NY                              ","            ","                    ","     ","female"
 781,"3rd","Yes","Drapkin, Miss Jennie                                          ","23    ","Southampton","London New York, NY                               ","            ","                    ","     ","female"
 782,"3rd","No ","Drazonovic, Mr Josef                                          ",".     ","Cherbourg  ","Austria Niagara Falls, NY                         ","            ","                    ","     ","male  "
 783,"3rd","Yes","Driscoll, Miss Bridget                                        ","24    ","Queenstown ","Ballydehob, Co Cork, Ireland New York, NY         ","            ","                    ","     ","female"
 784,"3rd","Yes","Duquemin, Mr Joseph                                           ","24    ","Southampton","England Albion, NY                                ","            ","                    ","D    ","male  "
 785,"3rd","No ","Dyker, Mr Adolf Fredrik                                       ","23    ","Southampton","West Haven, CT                                    ","            ","                    ","     ","male  "
 786,"3rd","Yes","Dyker, Mrs Adolf Fredrik (Anna Elizabeth Judith Andersson)    ","22    ","Southampton","West Haven, CT                                    ","            ","                    ","     ","female"
 787,"3rd","No ","Econovic, Mr Joso                                             ",".     ","Southampton","Austria-Hungary                                   ","            ","                    ","     ","male  "
 788,"3rd","No ","Edvardsson, Mr Gustaf Hjalmar                                 ","18    ","Southampton","Tofta, Sweden Joliet, IL                          ","            ","                    ","     ","male  "
 789,"3rd","No ","Eklund, Mr Hans Linus                                         ","16    ","Southampton","Karberg, Sweden Jerome Junction, AZ               ","            ","                    ","     ","male  "
 790,"3rd","No ","Ekstrom, Mr Johan                                             ","45    ","Southampton","Effington Rut, SD                                 ","            ","                    ","     ","male  "
 791,"3rd","No ","Elias, Mr Elias                                               ",".     ","Cherbourg  ","Syria                                             ","            ","                    ","     ","male  "
 792,"3rd","No ","Elias, Mr John                                                ",".     ","Cherbourg  ","Syria                                             ","            ","                    ","     ","male  "
 793,"3rd","No ","Elias, Mr Joseph                                              ",".     ","Cherbourg  ","Syria Ottawa, ON                                  ","            ","                    ","     ","male  "
 794,"3rd","No ","Elsbury, Mr James                                             ","47    ","Southampton","Illinois, USA                                     ","            ","                    ","     ","male  "
 795,"3rd","Yes","Emanuel, Miss Virginia Ethel                                  ","5     ","Southampton","New York, NY                                      ","            ","                    ","13   ","female"
 796,"3rd","No ","Emmeth, Mr Thomas                                             ",".     ","Southampton","                                                  ","            ","                    ","     ","male  "
 797,"3rd","No ","Everett, Thomas James                                         ",".     ","Southampton","                                                  ","            ","                    ","     ","male  "
 798,"3rd","No ","Farrell, Mr James                                             ",".     ","Queenstown ","Aughnacliff, Co Longford, Ireland New York, NY    ","            ","                    ","     ","male  "
 799,"3rd","Yes","Finoli, Mr Luigi                                              ",".     ","Southampton","Italy Philadelphia, PA                            ","            ","                    ","     ","male  "
 800,"3rd","No ","Fischer, Mr Eberhard Telander                                 ",".     ","Southampton","                                                  ","            ","                    ","     ","male  "
 801,"3rd","No ","Flynn, Mr James                                               ",".     ","Queenstown ","                                                  ","            ","                    ","     ","male  "
 802,"3rd","No ","Flynn, Mr John                                                ",".     ","Queenstown ","                                                  ","            ","                    ","     ","male  "
 803,"3rd","No ","Foley, Mr Joseph                                              ",".     ","Queenstown ","Ireland Chicago, IL                               ","            ","                    ","     ","male  "
 804,"3rd","No ","Foley, Mr William                                             ",".     ","Queenstown ","Ireland                                           ","            ","                    ","     ","male  "
 805,"3rd","Yes","Foo, Mr Choong                                                ",".     ","Southampton","Hong Kong New York, NY                            ","            ","                    ","     ","male  "
 806,"3rd","No ","Ford, Mr Arthur                                               ",".     ","Southampton","Bridgwater, Somerset, England                     ","            ","                    ","     ","male  "
 807,"3rd","No ","Ford, Miss Doolina Margaret                                   ","21    ","Southampton","Rotherfield, Sussex, England Essex Co, MA         ","            ","                    ","     ","female"
 808,"3rd","No ","Ford, Mr Edward Watson                                        ","18    ","Southampton","Rotherfield, Sussex, England Essex Co, MA         ","            ","                    ","     ","male  "
 809,"3rd","No ","Ford, Miss Maggie                                             ","9     ","Southampton","Rotherfield, Sussex, England Essex Co, MA         ","            ","                    ","     ","female"
 810,"3rd","No ","Ford, Mrs Edward (Margaret Ann)                               ","48    ","Southampton","Rotherfield, Sussex, England Essex Co, MA         ","            ","                    ","     ","female"
 811,"3rd","No ","Ford, Mr Neil Watson                                          ","16    ","Southampton","Rotherfield, Sussex, England Essex Co, MA         ","            ","                    ","     ","male  "
 812,"3rd","No ","Fox, Mr Patrick                                               ",".     ","Queenstown ","Ireland New York, NY                              ","            ","                    ","     ","male  "
 813,"3rd","No ","Franklin, Mr Charles                                          ",".     ","Southampton","                                                  ","            ","                    ","     ","male  "
 814,"3rd","No ","Gallagher, Mr Martin                                          ","25    ","Queenstown ","New York, NY                                      ","            ","                    ","     ","male  "
 815,"3rd","No ","Garfirth, Mr John                                             ",".     ","Southampton","                                                  ","            ","                    ","     ","male  "
 816,"3rd","Yes","Georges, Mrs Shahini Weappi                                   ",".     ","Cherbourg  ","Youngstown, OH                                    ","            ","                    ","     ","female"
 817,"3rd","No ","Gilinski, Mr Leslie                                           ","22    ","Southampton","                                                  ","            ","                    ","     ","male  "
 818,"3rd","Yes","Gilnagh, Miss Katie                                           ","16    ","Queenstown ","Co Longford, Ireland New York, NY                 ","            ","                    ","     ","female"
 819,"3rd","Yes","Glynn, Miss Mary Agatha                                       ",".     ","Queenstown ","Co Clare, Ireland Washington, DC                  ","            ","                    ","13   ","female"
 820,"3rd","No ","Goldsmith, Mr Frank John                                      ","33    ","Southampton","Strood, Kent, England Detroit, MI                 ","            ","                    ","     ","male  "
 821,"3rd","Yes","Goldsmith, Mrs Frank John (Emily A. Brown)                    ",".     ","Southampton","Strood, Kent, England Detroit, MI                 ","            ","                    ","C    ","female"
 822,"3rd","Yes","Goldsmith, Master Frank John William                          ","9     ","Southampton","Strood, Kent, England Detroit, MI                 ","            ","                    ","C    ","male  "
 823,"3rd","No ","Goldsmith, Mr Nathan                                          ","41    ","Southampton","Philadelphia, PA                                  ","            ","                    ","     ","male  "
 824,"3rd","No ","Goncalves, Mr Manuel Estanslas                                ","38    ","Southampton","Portugal                                          ","            ","                    ","     ","male  "
 825,"3rd","No ","Goodwin, Mr Frederick                                         ","40    ","Southampton","Wiltshire, England Niagara Falls, NY              ","            ","                    ","     ","male  "
 826,"3rd","No ","Goodwin, Mrs Frederick (Augusta)                              ","43    ","Southampton","Wiltshire, England Niagara Falls, NY              ","            ","                    ","     ","female"
 827,"3rd","No ","Goodwin, Mr Charles E.                                        ","14    ","Southampton","Wiltshire, England Niagara Falls, NY              ","            ","                    ","     ","male  "
 828,"3rd","No ","Goodwin, Miss Lillian A.                                      ","16    ","Southampton","Wiltshire, England Niagara Falls, NY              ","            ","                    ","     ","female"
 829,"3rd","No ","Goodwin, Master Harold V.                                     ","9     ","Southampton","Wiltshire, England Niagara Falls, NY              ","            ","                    ","     ","male  "
 830,"3rd","No ","Goodwin, Miss Jessie A.                                       ","10    ","Southampton","Wiltshire, England Niagara Falls, NY              ","            ","                    ","     ","female"
 831,"3rd","No ","Goodwin, Master Sidney L.                                     ","6     ","Southampton","Wiltshire, England Niagara Falls, NY              ","            ","                    ","     ","male  "
 832,"3rd","No ","Goodwin, Master William F.                                    ","11    ","Southampton","Wiltshire, England Niagara Falls, NY              ","            ","                    ","     ","male  "
 833,"3rd","No ","Green, Mr George                                              ","40    ","Southampton","Dorking, Surrey, England                          ","            ","                    ","     ","male  "
 834,"3rd","No ","Gronnestad, Mr Daniel Danielsen                               ","32    ","Southampton","Foresvik, Norway Portland, ND                     ","            ","                    ","     ","male  "
 835,"3rd","No ","Guest, Mr Robert                                              ",".     ","Southampton","                                                  ","            ","                    ","     ","male  "
 836,"3rd","No ","Gustafsson, Mr Alfred Ossian                                  ","20    ","Southampton","Waukegan, Chicago, IL                             ","            ","                    ","     ","male  "
 837,"3rd","No ","Gustafsson, Mr Anders Vilhelm                                 ","37    ","Southampton","Ruotsinphytaa, Finland New York, NY               ","            ","                    ","     ","male  "
 838,"3rd","No ","Gustafsson, Mr Johan Birger                                   ","28    ","Southampton","Ruotsinphytaa, Finland New York, NY               ","            ","                    ","     ","male  "
 839,"3rd","No ","Gustafsson, Mr Karl Gideon                                    ","19    ","Southampton","Myren, Sweden New York, NY                        ","            ","                    ","     ","male  "
 840,"3rd","No ","Haas, Miss Aloisia                                            ",".     ","           ","                                                  ","            ","                    ","     ","female"
 841,"3rd","No ","Hagardon, Miss Kate                                           ",".     ","           ","                                                  ","            ","                    ","     ","female"
 842,"3rd","No ","Hagland, Mr Ingvald Olsen                                     ",".     ","           ","                                                  ","            ","                    ","     ","male  "
 843,"3rd","No ","Hagland, Mr Konrad Mathias Reiersen                           ",".     ","           ","                                                  ","            ","                    ","     ","male  "
 844,"3rd","No ","Hakkarainen, Mr Pekko Pietari                                 ",".     ","           ","                                                  ","            ","                    ","     ","male  "
 845,"3rd","Yes","Hakkarainen, Mrs Pekko Pietari                                ",".     ","           ","                                                  ","            ","                    ","     ","female"
 846,"3rd","No ","Hampe, Mr Leon                                                ",".     ","           ","                                                  ","            ","                    ","     ","male  "
 847,"3rd","No ","Hansen, Mr Claus Peter                                        ",".     ","           ","                                                  ","            ","                    ","     ","male  "
 848,"3rd","Yes","Hansen, Mrs Claus Peter                                       ",".     ","           ","                                                  ","            ","                    ","     ","female"
 849,"3rd","No ","Hansen, Mr Henrik Juul                                        ",".     ","           ","                                                  ","            ","                    ","     ","male  "
